State,Over 10%,Over 20%,Over 30%,Over 50%
Alabama,9,3,-,-
Arkansas,44,14,11,3
Colorado,6,4,2,-
Delaware,4,1,1,-
Florida,7,2,1,1
Georgia,92,52,30,13
Illinois,33,11,4,1
Indiana,9,3,-,-
Iowa,1,1,1,-
Kansas,4,-,-,-
Louisiana,70,49,40,25
Maryland,8,4,3,-
Michigan,8,-,-,-
Mississippi,8,1,-,-
Missouri,18,6,2,-
Montana,1,-,-,-
Nevada,1,-,-,-
New Jersey,2,-,-,-
New Mexico,1,-,-,-
New York,34,12,5,1
Ohio,24,15,10,8
Oklahoma,55,42,29,14
Oregon,4,2,1,-
Pennsylvania,4,-,-,-
South Carolina,11,6,4,1
Tennessee,18,12,10,2
Texas,90,39,22,10
Utah,5,1,-,-
Vermont,1,1,1,-
Virginia,3,3,2,1
Washington,3,-,-,-
West Virginia,3,-,-,-
Wisconsin,2,-,-,-
